Rank,Name,basename,Genre,Platform,Publisher,Developer,Year,Global_Sales,NA_Sales,PAL_Sales,JP_Sales
363,Far Cry 4,far-cry-4,Shooter,PS4,Ubisoft,Ubisoft Montreal,2014,4.06,1.18,2.14,0.11
364,Carnival Games,carnival-games,Misc,Wii,Global Star Software,Cat Daddy Games,2007,4.06,2.12,1.47,0.05
365,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2006,4.06,0.12,2.26,0.9
366,Forza Motorsport 2,forza-motorsport-2,Racing,X360,Microsoft Game Studios,Turn 10 Studios,2007,4.05,2.35,1.27,0.03
367,Namco Museum Vol.3,namco-museum-vol3,Misc,PS,Namco,Namco,1997,4.05,2.28,1.55,0.16
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,PS2,Namco,Namco,2000,4.05,1.68,1.51,0.51
377,Fallout 3,fallout-3,Role-Playing,PS3,Bethesda Softworks,Bethesda Game Studios,2008,4.0,2.18,1.15,0.07
381,NBA 2K16,nba-2k16,Sports,PS4,2K Sports,Visual Concepts,2015,3.98,2.56,0.66,0.05
382,Left 4 Dead 2,left-4-dead-2,Shooter,X360,Electronic Arts,Certain Affinity / Valve Software,2009,3.97,2.67,0.88,0.05
383,Far Cry 5,far-cry-5,Action,PS4,Ubisoft,Ubisoft,2018,3.95,1.44,1.73,0.15
384,Battlefield 4,battlefield-4,Shooter,PS4,Electronic Arts,EA DICE,2013,3.94,1.4,1.74,0.19
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,PS3,Ubisoft,Ubisoft Montreal,2013,3.94,1.34,1.86,0.13
386,EA Sports Active,ea-sports-active,Sports,Wii,EA Sports,EA Vancouver,2009,3.93,2.11,1.35,0.06
391,Tony Hawk's Underground,tony-hawks-underground,Sports,PS2,Activision,Neversoft Entertainment,2003,3.9,2.29,1.17,0.01
394,Sports Champions,sports-champions,Sports,PS3,Sony Computer Entertainment,SCE San Diego Studio,2010,3.88,2.15,1.13,0.1
395,MotorStorm,motorstorm,Racing,PS3,Sony Computer Entertainment,Evolution Studios,2007,3.87,1.53,1.61,0.06
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,PS2,Konami,Konami Computer Entertainment Tokyo,2005,3.85,0.16,1.89,1.12
397,Namco Museum Vol.1,namco-museum-vol1,Misc,PS,Namco,Namco,1996,3.84,2.12,1.44,0.22
401,Gran Turismo Sport,gran-turismo-sport,Racing,PS4,Sony Interactive Entertainment,Polyphony Digital,2017,3.77,0.63,2.35,0.24
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,PSP,Sony Computer Entertainment,High Impact Games,2007,3.75,1.4,1.4,0.1
406,Harry Potter and the Sorcerer's Stone,harry-potter-and-the-sorcerers-stone,Action,PS,Electronic Arts,Argonaut Games,2001,3.73,1.37,2.0,0.14
411,FIFA Soccer 2005,fifa-soccer-2005,Sports,PS2,EA Sports,EA Canada,2004,3.7,0.58,2.48,0.04
414,Tony Hawk's Pro Skater 4,tony-hawks-pro-skater-4,Sports,PS2,Activision,Neversoft Entertainment,2002,3.67,2.13,1.18,0.01
416,MySims,mysims,Simulation,DS,Electronic Arts,EA Redwood Shores,2007,3.66,1.58,1.6,0.08
418,SOCOM: U.S. Navy SEALs,socom-us-navy-seals,Shooter,PS2,Sony Computer Entertainment,Zipper Interactive,2002,3.65,2.53,0.81,0.06
419,Battlefield 4,battlefield-4,Shooter,PS3,Electronic Arts,EA DICE,2013,3.64,1.31,1.5,0.27
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,PS2,Sony Computer Entertainment,Naughty Dog,2001,3.64,2.08,1.09,0.15
422,Pro Evolution Soccer 2008,pro-evolution-soccer-2008,Sports,PS2,Konami,Konami,2008,3.63,0.05,0.0,0.64
