Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
4308,Time Crisis: Razing Storm,time-crisis-razing-storm,Shooter,T,PS3,Namco Bandai,Nex Entertainment,0.54,0.18,0.21,0.07,2010
4312,Tatsunoko vs. Capcom: Ultimate All-Stars,tatsunoko-vs-capcom-ultimate-all-stars,Fighting,T,Wii,Capcom,Eighting,0.54,0.3,0.16,0.03,2010
4313,Dragon Ball: Fusions,dragon-ball-fusions,Role-Playing,T,3DS,Namco Bandai Games,Ganbarion,0.54,0.17,0.09,0.24,2016
4323,Rune Factory: A Fantasy Harvest Moon,rune-factory-a-fantasy-harvest-moon,Role-Playing,E,DS,Natsume,Neverland Company,0.53,0.35,0.01,0.14,2007
4325,Clock Tower,clock-tower,Adventure,M,PS,ASCII Entertainment,Human Entertainment,0.53,0.07,0.05,0.38,1997
4339,Phoenix Wright: Ace Attorney - Justice for All,phoenix-wright-ace-attorney-justice-for-all,Adventure,T,DS,Capcom,Capcom,0.53,0.21,0.04,0.26,2007
4348,Michael Jackson: The Experience,michael-jackson-the-experience,Misc,E10,PS3,Ubisoft,Ubisoft Montreal,0.53,0.25,0.19,0.0,2011
4349,Excite Truck,excite-truck,Racing,E,Wii,Nintendo,Monster Games Inc.,0.53,0.39,0.03,0.08,2006
4358,Magician's Quest: Mysterious Times,magicians-quest-mysterious-times,Role-Playing,E10,DS,Konami,Konami,0.53,0.04,0.01,0.48,2009
4364,Sonic & Sega All-Stars Racing Transformed,sonic-amp-sega-all-stars-racing-transformed,Racing,E10,WiiU,Sega,Sumo Digital,0.53,0.19,0.28,0.02,2012
4367,FIFA Soccer 12,fifa-soccer-12,Sports,E,PSP,EA Sports,EA Canada,0.53,0.12,0.26,0.02,2011
4370,Terminator Salvation,terminator-salvation,Shooter,T,PS3,Warner Bros. Interactive,GRIN,0.53,0.13,0.29,0.01,2009
4371,F1 2018,f1-2018,Racing,E,PS4,Codemasters,Codemasters Birmingham,0.53,0.05,0.39,0.01,2018
4379,Star Fox Command,star-fox-command,Shooter,E10,DS,Nintendo,Nintendo EAD / Q-Games,0.53,0.38,0.01,0.1,2006
4385,Mario Tennis: Power Tour,mario-tennis-power-tour,Sports,E,GBA,Nintendo,Camelot Software Planning,0.52,0.24,0.09,0.19,2005
4392,Silent Hill: Origins,silent-hill-origins,Action,M,PSP,Konami,Climax Group,0.52,0.22,0.16,0.04,2007
4393,Dragon Ball: Xenoverse,dragon-ball-xenoverse,Fighting,T,PS3,Namco Bandai Games,Dimps Corporation,0.52,0.18,0.13,0.15,2015
4394,Mystery Dungeon: Shiren the Wanderer,mystery-dungeon-shiren-the-wanderer,Role-Playing,E,DS,Sega,ChunSoft,0.52,0.17,0.0,0.33,2008
4395,GT Pro Series,gt-pro-series,Racing,E,Wii,Ubisoft,MTO,0.52,0.46,0.01,0.02,2006
4396,Tales of Symphonia: Dawn of the New World,tales-of-symphonia-dawn-of-the-new-world,Role-Playing,T,Wii,Namco Bandai,Namco Tales Studio,0.52,0.21,0.05,0.24,2008
4398,F.E.A.R. 2: Project Origin,fear-2-project-origin,Shooter,M,X360,Warner Bros. Interactive,Monolith Productions,0.52,0.32,0.15,0.0,2009
4408,Metal Gear Solid 2: Substance,metal-gear-solid-2-substance,Action,M,PS2,Konami,Konami Computer Entertainment Japan,0.52,0.18,0.14,0.16,2003
4412,NBA Live 08,nba-live-08,Sports,E,X360,Electronic Arts,EA Canada,0.52,0.47,0.0,0.0,2007
4413,We Cheer,we-cheer,Simulation,E,Wii,Namco Bandai,"Machatin, Inc.",0.52,0.47,0.0,0.0,2008
4416,Naruto Shippuden: Ultimate Ninja Storm 3,naruto-shippuden-ultimate-ninja-storm-3,Fighting,T,X360,Namco Bandai Games,CyberConnect2,0.52,0.3,0.17,0.01,2013
4419,NBA Live 09,nba-live-09,Sports,E,PS3,Electronic Arts,EA Canada,0.52,0.46,0.0,0.02,2008
4423,The 3rd Birthday,the-3rd-birthday,Role-Playing,M,PSP,Square Enix,HexaDrive,0.52,0.13,0.07,0.27,2011
4427,Rival Schools: United By Fate,rival-schools-united-by-fate,Fighting,T,PS,Capcom,Capcom,0.52,0.12,0.08,0.28,1998
4428,Swing Away Golf,swing-away-golf,Sports,E,PS2,Electronic Arts,Tikipod,0.52,0.17,0.13,0.18,2000
4430,Tomb Raider: Legend,tomb-raider-legend,Action,T,PS2,Eidos Interactive,Crystal Dynamics,0.52,0.25,0.19,0.02,2006
4432,Rune Factory 2: A Fantasy Harvest Moon,rune-factory-2-a-fantasy-harvest-moon,Role-Playing,E,DS,Natsume,Neverland Company,0.52,0.32,0.03,0.15,2008
4437,Way of the Samurai 3,way-of-the-samurai-3,Action,M,PS3,Agetec,Acquire,0.52,0.18,0.08,0.22,2009
4440,Front Mission 3,front-mission-3,Strategy,T,PS,Square,SquareSoft,0.52,0.1,0.07,0.31,2000
4442,SimAnimals,simanimals,Simulation,E,DS,Electronic Arts,Electronic Arts,0.52,0.26,0.21,0.0,2009
4448,Omega Boost,omega-boost,Shooter,E,PS,Sony Computer Entertainment,Polyphony Digital,0.52,0.17,0.11,0.2,1999
4451,One Piece: Pirate Warriors 3,one-piece-pirate-warriors-3,Action,T,PS4,Tecmo Koei,Omega Force,0.52,0.11,0.22,0.11,2015
4456,Way of the Samurai,way-of-the-samurai,Action,M,PS2,BAM! Entertainment,Acquire,0.51,0.13,0.1,0.25,2002
4457,Lair,lair,Action,T,PS3,Sony Computer Entertainment,Factor 5,0.51,0.36,0.04,0.08,2007
4463,Hitman 2,hitman-2,Action-Adventure,M,PS4,Warner Bros. Interactive Entertainment,IO Interactive,0.51,0.19,0.22,0.02,2018
4464,International Track & Field,international-track-amp-field,Sports,E,PS,Konami,Konami,0.51,0.08,0.05,0.35,1996
4472,SoulCalibur: Broken Destiny,soulcalibur-broken-destiny,Fighting,T,PSP,Namco Bandai,Project Soul,0.51,0.12,0.2,0.07,2009
4481,Pro Evolution Soccer 2010,pro-evolution-soccer-2010,Sports,E,Wii,Konami,Konami,0.51,0.12,0.27,0.06,2009
4484,International Superstar Soccer 2000 (All region sales),international-superstar-soccer-2000-all-region-sales,Sports,E,N64,Konami,KCEO,0.51,0.01,0.26,0.22,2000
4489,Bleach: Soul Resurreccion,bleach-soul-resurreccion,Fighting,T,PS3,NIS America,Eighting,0.51,0.27,0.11,0.07,2011
4497,Mario & Luigi Superstar Saga + Bowser's Minions,mario-amp-luigi-superstar-saga-bowsers-minions,Role-Playing,E,3DS,Nintendo,AlphaDream Corporation,0.51,0.2,0.2,0.08,2017
4498,Dynasty Warriors,dynasty-warriors,Action,T,PSP,Tecmo Koei,Omega Force,0.51,0.18,0.0,0.3,2005
4499,Ace Combat Zero: The Belkan War,ace-combat-zero-the-belkan-war,Simulation,T,PS2,Namco,Namco,0.51,0.15,0.12,0.2,2006
4501,Final Fantasy II Anniversary Edition,final-fantasy-ii-anniversary-edition,Role-Playing,T,PSP,Square Enix,Square Enix,0.51,0.36,0.03,0.07,2007
4503,Dragon Ball: Raging Blast,dragon-ball-raging-blast,Fighting,T,X360,Namco Bandai,Spike,0.51,0.36,0.08,0.02,2009
4507,Theatrhythm: Final Fantasy,theatrhythm-final-fantasy,Misc,E10,3DS,Square Enix,Jupiter Multimedia,0.51,0.22,0.07,0.18,2012
4519,Capcom Classics Collection,capcom-classics-collection,Misc,T,PS2,Capcom,Digital Eclipse,0.51,0.22,0.17,0.05,2005
4521,Fire Emblem Warriors,fire-emblem-warriors,Action,T,NS,Nintendo,Omega Force,0.51,0.22,0.14,0.1,2017
4528,Homefront: The Revolution,homefront-the-revolution,Shooter,M,PS4,Deep Silver,Dambuster Studios,0.5,0.11,0.29,0.04,2016
4530,FIFA 14,fifa-14,Sports,E,PSV,EA Sports,EA Canada,0.5,0.08,0.3,0.01,2013
4533,Rooms: The Main Building,rooms-the-main-building,Adventure,E,DS,Hudson Soft,HandMade Game,0.5,0.1,0.35,0.01,2010
4542,R.U.S.E.,ruse,Strategy,T,PS3,Ubisoft,Eugen Systems,0.5,0.18,0.22,0.02,2010
4544,Attack on Titan,attack-on-titan,Action,M,PS4,Tecmo Koei,Omega Force,0.5,0.08,0.24,0.12,2017
4548,Picross DS,picross-ds,Puzzle,E,DS,Nintendo,Jupiter Multimedia,0.5,0.17,0.02,0.3,2007
4557,Sega Bass Fishing,sega-bass-fishing,Sports,E,Wii,Sega,Cavia Inc.,0.5,0.45,0.01,0.0,2008
4563,PlayStation All-Stars Battle Royale,playstation-all-stars-battle-royale,Fighting,T,PSV,Sony Computer Entertainment,Bluepoint Games,0.5,0.21,0.16,0.01,2012
4572,Tactics Ogre: The Knight of Lodis,tactics-ogre-the-knight-of-lodis,Role-Playing,E,GBA,Atlus,Quest Corporation,0.5,0.13,0.05,0.31,2002
4575,Hometown Story,hometown-story,Simulation,E10,3DS,Natsume,Toy Box,0.5,0.29,0.13,0.04,2013
4577,Dead or Alive Ultimate,dead-or-alive-ultimate,Fighting,M,XB,Tecmo,Team Ninja,0.5,0.3,0.1,0.08,2004
4584,NBA Street Homecourt,nba-street-homecourt,Sports,E,X360,EA Sports,EA Canada,0.5,0.45,0.01,0.0,2007
4585,Pokemon Art Academy,pokemon-art-academy,Misc,E,3DS,Nintendo,Headstrong Games,0.5,0.18,0.12,0.17,2014
4587,Epic Mickey: Power of Illusion,epic-mickey-power-of-illusion,Platform,E,3DS,Disney Interactive Studios,DreamRift,0.5,0.36,0.05,0.04,2012
4588,Monster Hunter,monster-hunter,Role-Playing,M,PS2,Capcom,Capcom,0.5,0.11,0.08,0.28,2004
4591,Picross 3D,picross-3d,Puzzle,E,DS,Nintendo,HAL Laboratory,0.5,0.28,0.03,0.16,2010
4592,Sonic & Sega All-Stars Racing Transformed,sonic-amp-sega-all-stars-racing-transformed,Racing,E10,PS3,Sega,Sumo Digital,0.5,0.08,0.33,0.02,2012
4594,Ridge Racer 3D,ridge-racer-3d,Racing,E,3DS,Namco Bandai,Namco Bandai Games,0.5,0.19,0.16,0.12,2011
4596,Bakugan Battle Brawlers: Defenders of the Core,bakugan-battle-brawlers-defenders-of-the-core,Action,E10,DS,Activision,Now Production,0.5,0.43,0.02,0.02,2010
4597,Pro Evolution Soccer 2019,pro-evolution-soccer-2019,Sports,E,PS4,Konami,Konami,0.5,0.06,0.23,0.15,2018
4599,Alice: Madness Returns,alice-madness-returns,Adventure,M,X360,Electronic Arts,Spicy Horse,0.5,0.27,0.15,0.04,2011
4600,Super Monkey Ball 3D,super-monkey-ball-3d,Action,E,3DS,Sega,Sega,0.5,0.26,0.15,0.05,2011
4604,Wet,wet,Shooter,M,X360,Bethesda Softworks,Artificial Mind and Movement,0.5,0.23,0.21,0.01,2009
4605,Spider-Man 2,spider-man-2,Action,E,DS,Activision,Vicarious Visions,0.5,0.41,0.02,0.03,2004
4606,Dragon's Crown,dragons-crown,Role-Playing,RP,PS3,Atlus,Vanillaware,0.5,0.27,0.04,0.17,2013
4609,Steel Diver,steel-diver,Action,E10,3DS,Nintendo,Nintendo EAD,0.5,0.31,0.1,0.05,2011
4616,Resident Evil: The Mercenaries 3D,resident-evil-the-mercenaries-3d,Shooter,M,3DS,Capcom,Capcom,0.49,0.16,0.17,0.13,2011
4618,Dynasty Warriors: Gundam 2,dynasty-warriors-gundam-2,Action,T,PS3,Namco Bandai,Omega Force,0.49,0.09,0.07,0.32,2009
4624,Tony Hawk's Project 8,tony-hawks-project-8,Sports,T,X360,Activision,Neversoft Entertainment,0.49,0.44,0.02,0.0,2006
4625,Dragon Ball Z: Supersonic Warriors 2,dragon-ball-z-supersonic-warriors-2,Fighting,E10,DS,Atari,Arc System Works,0.49,0.13,0.02,0.32,2005
4626,Story of Seasons: Trio of Towns,story-of-seasons-trio-of-towns,Simulation,E10,3DS,Marvelous Interactive,Marvelous Entertainment,0.49,0.19,0.06,0.22,2017
4629,Fire Emblem: Radiant Dawn,fire-emblem-radiant-dawn,Strategy,E10,Wii,Nintendo,Intelligent Systems,0.49,0.27,0.03,0.17,2007
4632,Mario Golf: World Tour,mario-golf-world-tour,Sports,E,3DS,Nintendo,Camelot Software Planning,0.49,0.14,0.15,0.18,2014
4633,Ace Combat: Assault Horizon,ace-combat-assault-horizon,Action,T,X360,Namco Bandai,Project ACES,0.49,0.3,0.12,0.03,2011
4638,Asphalt 3D,asphalt-3d,Racing,E10,3DS,Ubisoft,Konami,0.49,0.27,0.16,0.02,2011
4645,Grandia III,grandia-iii,Role-Playing,T,PS2,Square Enix,Game Arts,0.49,0.12,0.1,0.24,2006
4649,Kane & Lynch 2: Dog Days,kane-amp-lynch-2-dog-days,Shooter,M,X360,Square Enix,IO Interactive,0.49,0.2,0.23,0.01,2010
4654,Animal Crossing: Amiibo Festival,animal-crossing-amiibo-festival,Party,E,WiiU,Nintendo,"Nd Cube Co., Ltd.",0.49,0.23,0.12,0.1,2015
4658,The Evil Within,the-evil-within,Misc,M,X360,Bethesda Softworks,Tango Gameworks,0.49,0.28,0.16,0.01,2014
4663,Virtua Tennis 4: World Tour,virtua-tennis-4-world-tour,Sports,E,PSV,Sega,Sega,0.49,0.04,0.34,0.01,2012
4666,Mario & Sonic at the Rio 2016 Olympic Games,mario-amp-sonic-at-the-rio-2016-olympic-games,Sports,E10,WiiU,Nintendo,Sega Sports R&D,0.49,0.1,0.23,0.13,2016
4669,Dragon Ball Z: Burst Limit,dragon-ball-z-burst-limit,Fighting,T,X360,Atari,Dimps Corporation,0.49,0.24,0.18,0.03,2008
4671,Crazy Taxi,crazy-taxi,Racing,T,GC,Acclaim Entertainment,Hitmaker,0.49,0.36,0.09,0.02,2001
4673,Art Academy: Lessons for Everyone!,art-academy-lessons-for-everyone,Misc,E,3DS,Nintendo,Headstrong Games,0.49,0.2,0.05,0.21,2012
4678,DiRT 4,dirt-4,Racing,T,PS4,Deep Silver,Codemasters,0.49,0.1,0.3,0.02,2017
4680,Hyrule Warriors Legends,hyrule-warriors-legends,Action,T,3DS,Nintendo,Omega Force,0.49,0.17,0.16,0.12,2016
4681,Dark Souls: Remastered,dark-souls-remastered,Role-Playing,M,PS4,Bandai Namco Entertainment,From Software,0.49,0.13,0.16,0.14,2018
4684,Tales of Legendia,tales-of-legendia,Role-Playing,T,PS2,Namco,Namco / Team MelFes,0.49,0.07,0.05,0.35,2006
4687,Alone in the Dark,alone-in-the-dark,Adventure,M,X360,Atari,Eden Studios,0.49,0.14,0.3,0.0,2008
4698,Street Fighter X Tekken,street-fighter-x-tekken,Fighting,T,X360,Capcom,Capcom,0.48,0.32,0.1,0.03,2012
4702,Atelier Rorona: Alchemist of Arland,atelier-rorona-alchemist-of-arland,Role-Playing,T,PS3,NIS America,Gust,0.48,0.22,0.1,0.11,2014
4708,Lollipop Chainsaw,lollipop-chainsaw,Action,M,X360,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,0.48,0.31,0.12,0.02,2012
4712,Fortune Street,fortune-street,Misc,E,Wii,Nintendo,Square Enix,0.48,0.25,0.03,0.17,2011
4716,Dark Sector,dark-sector,Shooter,M,X360,D3 Publisher,Digital Extremes,0.48,0.22,0.2,0.01,2008
4730,Harvest Moon 64,harvest-moon-64,Simulation,E,N64,Natsume,Toy Box Studios,0.48,0.25,0.06,0.11,1999
4735,Friday the 13th: The Game,friday-the-13th-the-game,Action,M,PS4,Gun Media,IllFonic,0.48,0.29,0.09,0.03,2017
4739,Crazy Taxi: Fare Wars,crazy-taxi-fare-wars,Racing,E10,PSP,Sega,Sniper Studios,0.48,0.1,0.23,0.02,2007
4740,Sonic Lost World,sonic-lost-world,Platform,E10,3DS,Sega,Dimps Corporation,0.48,0.22,0.15,0.07,2013
4743,The Walking Dead: A Telltale Games Series,the-walking-dead-a-telltale-games-series,Adventure,M,PS4,Telltale Games,Telltale Games,0.48,0.12,0.26,0.03,2014
4754,Children of Mana,children-of-mana,Role-Playing,E10,DS,Nintendo,Next Entertainment,0.48,0.16,0.01,0.29,2006
4755,FIFA World Cup Germany 2006,fifa-world-cup-germany-2006,Sports,E,X360,EA Sports,EA Canada,0.48,0.19,0.27,0.01,2006
4757,Wolfenstein: The Old Blood,wolfenstein-the-old-blood,Shooter,M,PS4,Bethesda Softworks,MachineGames,0.48,0.13,0.25,0.02,2015
4764,Fantavision,fantavision,Puzzle,E,PS2,Sony Computer Entertainment,SCEI,0.47,0.14,0.11,0.19,2000
4766,Alien Trilogy,alien-trilogy,Shooter,M,PS,Acclaim Entertainment,Probe Entertainment Limited,0.47,0.24,0.16,0.04,1997
4770,Luigi's Mansion,luigis-mansion,Adventure,E,3DS,Nintendo,GREZZO,0.47,0.19,0.16,0.09,2018
4771,Dynasty Warriors Gundam,dynasty-warriors-gundam,Action,T,PS3,Namco Bandai,Omega Force,0.47,0.14,0.01,0.31,2007
4775,Dark Sector,dark-sector,Shooter,M,PS3,D3 Publisher,Digital Extremes,0.47,0.23,0.16,0.01,2008
4776,James Bond 007: Blood Stone,james-bond-007-blood-stone,Action,T,X360,Activision,Bizarre Creations,0.47,0.2,0.23,0.0,2010
4783,F.E.A.R. 2: Project Origin,fear-2-project-origin,Shooter,M,PS3,Warner Bros. Interactive,Monolith Productions,0.47,0.19,0.2,0.01,2009
4785,Silent Hill: Downpour,silent-hill-downpour,Adventure,M,PS3,Konami,Konami,0.47,0.21,0.16,0.04,2012
4786,Unreal Tournament III,unreal-tournament-iii,Shooter,M,X360,Midway Games,Epic Games,0.47,0.25,0.17,0.01,2008
4790,2010 FIFA World Cup South Africa,2010-fifa-world-cup-south-africa,Sports,E,PSP,EA Sports,EA Canada,0.47,0.09,0.23,0.03,2010
4792,Victorious Boxers: Ippo's Road to Glory,victorious-boxers-ippos-road-to-glory,Fighting,T,PS2,Empire Interactive,New,0.47,0.05,0.04,0.38,2001
4795,Valkyrie Profile 2: Silmeria,valkyrie-profile-2-silmeria,Role-Playing,T,PS2,Square Enix,tri-Ace,0.47,0.04,0.03,0.39,2006
4802,Dead Space Extraction,dead-space-extraction,Shooter,M,Wii,Electronic Arts,Visceral Games,0.47,0.32,0.1,0.01,2009
4804,Bomberman Hero,bomberman-hero,Platform,E,N64,Nintendo,AI,0.47,0.27,0.06,0.08,1998
4810,Viva Pinata: Trouble in Paradise,viva-pinata-trouble-in-paradise,Simulation,E,X360,Microsoft Game Studios,Rare Ltd.,0.47,0.16,0.25,0.01,2008
4814,Silent Hill: Shattered Memories,silent-hill-shattered-memories,Adventure,M,Wii,Konami,Climax Group,0.47,0.22,0.19,0.01,2009
4815,FlingSmash,flingsmash,Action,E,Wii,Nintendo,Artoon,0.47,0.37,0.01,0.07,2010
4829,Final Fantasy Crystal Chronicles: Echoes of Time,final-fantasy-crystal-chronicles-echoes-of-time,Role-Playing,E10,DS,Square Enix,Square Enix,0.47,0.12,0.06,0.27,2009
4832,Detective Pikachu,detective-pikachu,Adventure,E,3DS,Nintendo,Creatures Inc.,0.47,0.15,0.17,0.12,2018
4834,Knack 2,knack-2,Platform,E10,PS4,Sony Interactive Entertainment,SIE Japan Studio,0.47,0.14,0.25,0.01,2017
4843,Two Worlds II,two-worlds-ii,Role-Playing,M,PS3,SouthPeak Interactive,Reality Pump,0.47,0.26,0.1,0.06,2011
4844,Sonic Mania,sonic-mania,Platform,E,NS,Sega,PagodaWest Games,0.47,0.23,0.18,0.01,2017
4849,Metal Gear Solid: The Twin Snakes,metal-gear-solid-the-twin-snakes,Action,M,GC,Konami,Silicon Knights,0.47,0.3,0.08,0.07,2004
4856,SimCity Creator,simcity-creator,Simulation,E,Wii,Electronic Arts,The Sims Studio,0.46,0.36,0.03,0.04,2008
4861,Classic NES Series: Pac-Man,classic-nes-series-pac-man,Puzzle,E,GBA,Nintendo,Nintendo,0.46,0.25,0.09,0.12,2004
4866,Dissidia Final Fantasy NT,dissidia-final-fantasy-nt,Fighting,T,PS4,Square Enix,Square Enix,0.46,0.19,0.06,0.16,2018
4872,Rygar: The Legendary Adventure,rygar-the-legendary-adventure,Action,T,PS2,Tecmo,Tecmo,0.46,0.2,0.15,0.06,2002
4874,Kessen II,kessen-ii,Strategy,T,PS2,KOEI,Koei,0.46,0.13,0.1,0.2,2001
4878,Red Faction: Armageddon,red-faction-armageddon,Shooter,M,PS3,THQ,Volition Inc.,0.46,0.2,0.15,0.03,2011
4881,Battlefield: Hardline,battlefield-hardline,Shooter,M,PS3,Electronic Arts,EA DICE,0.46,0.15,0.17,0.08,2015
4885,Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,Racing,T,Wii,Electronic Arts,Exient Entertainment,0.46,0.17,0.24,0.0,2010
4886,Mario Sports Superstars,mario-sports-superstars,Sports,E,3DS,Nintendo,Namco Bandai Games,0.46,0.18,0.12,0.13,2017
4906,Wolfenstein: The New Order,wolfenstein-the-new-order,Shooter,M,PS3,Bethesda Softworks,MachineGames,0.46,0.14,0.22,0.02,2014
4913,Hyrule Warriors: Definitive Edition,hyrule-warriors-definitive-edition,Action,T,NS,Nintendo,Koei Tecmo Games,0.46,0.21,0.15,0.07,2018
4918,.hack//Outbreak Part 3,.hack,Role-Playing,T,PS2,Bandai,CyberConnect2,0.46,0.14,0.11,0.17,2003
4935,Naruto Shippuden: Ultimate Ninja Storm Revolution,naruto-shippuden-ultimate-ninja-storm-revolution,Fighting,T,PS3,Namco Bandai Games,CyberConnect2,0.45,0.16,0.15,0.09,2014
4937,Enter the Matrix,enter-the-matrix,Action,T,GC,Atari,Shiny Entertainment,0.45,0.34,0.09,0.02,2003
4938,Dead or Alive: Dimensions,dead-or-alive-dimensions,Fighting,T,3DS,Tecmo Koei,Team Ninja,0.45,0.13,0.22,0.07,2011
4944,Bleach: The Blade of Fate,bleach-the-blade-of-fate,Fighting,T,DS,Sega,"Treasure Co., Ltd.",0.45,0.29,0.01,0.12,2007
4948,Phantasy Star Online Episode I & II,phantasy-star-online-episode-i-amp-ii,Role-Playing,T,GC,Sega,Sonic Team,0.45,0.23,0.06,0.16,2002
4956,Burnout Dominator,burnout-dominator,Racing,E10,PSP,Electronic Arts,Criterion Games,0.45,0.02,0.38,0.01,2007
4969,Dynasty Warriors: Strikeforce,dynasty-warriors-strikeforce,Action,T,PSP,Tecmo Koei,Omega Force,0.45,0.03,0.02,0.38,2009
4979,F.E.A.R. 3,fear-3,Shooter,M,PS3,Warner Bros. Interactive,Day 1 Studios,0.45,0.21,0.16,0.01,2011
4981,Terraria,terraria,Action-Adventure,T,PS3,505 Games,Engine Software,0.45,0.09,0.21,0.09,2013
4983,Fable Anniversary,fable-anniversary,Role-Playing,M,X360,Microsoft Studios,Lionhead Studios,0.45,0.26,0.15,0.01,2014
4988,Yakuza Kiwami,yakuza-kiwami,Adventure,M,PS4,Sega,Sega,0.45,0.13,0.07,0.21,2017
4995,PES 2009: Pro Evolution Soccer,pes-2009-pro-evolution-soccer,Sports,E,Wii,Konami,Konami,0.45,0.09,0.26,0.05,2009
4997,Pirates of the Caribbean: At World's End,pirates-of-the-caribbean-at-worlds-end,Action,T,Wii,Disney Interactive Studios,Eurocom Entertainment Software,0.45,0.39,0.02,0.01,2007
5017,Samurai Warriors: Xtreme Legends,samurai-warriors-xtreme-legends,Action,T,PS2,KOEI,Omega Force,0.45,0.04,0.03,0.36,2004
5022,Naruto Shippuden: Ultimate Ninja Storm Generations,naruto-shippuden-ultimate-ninja-storm-generations,Fighting,T,X360,Namco Bandai Games,CyberConnect2,0.45,0.26,0.14,0.01,2012
5027,F.E.A.R. 3,fear-3,Shooter,M,X360,Warner Bros. Interactive,Day 1 Studios,0.45,0.3,0.11,0.01,2011
5035,Vandal Hearts,vandal-hearts,Role-Playing,M,PS,Konami,Konami Computer Entertainment Tokyo,0.45,0.14,0.09,0.19,1997
5036,Virtua Tennis 4,virtua-tennis-4,Sports,E,PS3,Sega,Sega-AM2,0.45,0.09,0.24,0.03,2011
5039,DmC Devil May Cry,dmc-devil-may-cry,Action,M,X360,Capcom,Ninja Theory,0.45,0.27,0.13,0.01,2013
5044,Sid Meier's Civilization Revolution,sid-meiers-civilization-revolution,Strategy,E10,DS,2K Games,Firaxis,0.45,0.37,0.03,0.02,2008
5047,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,socom-us-navy-seals-fireteam-bravo-3,Shooter,T,PSP,Sony Computer Entertainment,Slant Six Games,0.45,0.17,0.13,0.06,2010
5054,World Soccer Winning Eleven 9,world-soccer-winning-eleven-9,Sports,E,XB,Konami,Konami Computer Entertainment Tokyo,0.44,0.06,0.33,0.02,2006
5058,Ninja Gaiden 3,ninja-gaiden-3,Action,M,PS3,Tecmo Koei,Team Ninja,0.44,0.19,0.09,0.11,2012
5060,Shin Megami Tensei: Devil Survivor Overclocked,shin-megami-tensei-devil-survivor-overclocked,Role-Playing,T,3DS,Atlus,Career Soft,0.44,0.34,0.01,0.06,2011
5081,Hey! Pikmin,hey-pikmin,Platform,E10,3DS,Nintendo,Arzest,0.44,0.17,0.08,0.17,2017
5082,Chocobo Racing,chocobo-racing,Racing,E,PS,Square EA,SquareSoft,0.44,0.07,0.05,0.3,1999
5085,Metal Gear Solid HD Collection,metal-gear-solid-hd-collection,Action,M,PSV,Konami Digital Entertainment,Kojima Productions,0.44,0.12,0.2,0.05,2012
5092,Pro Evolution Soccer 2016,pro-evolution-soccer-2016,Sports,E,PS3,Konami Digital Entertainment,PES Productions,0.44,0.11,0.12,0.16,2015
5094,The Urbz: Sims in the City (all regions sales),the-urbz-sims-in-the-city-all-regions-sales,Simulation,E,DS,Electronic Arts,Griptonite Games,0.44,0.4,0.01,0.02,2004
5097,Star Fox: Zero,star-fox-zero,Shooter,E10,WiiU,Nintendo,Nintendo EPD,0.44,0.2,0.12,0.09,2016
5100,Dragon Ball FighterZ,dragon-ball-fighterz,Fighting,T,NS,Bandai Namco Entertainment,Arc System Works,0.44,0.21,0.13,0.07,2018
5104,Tetris Axis,tetris-axis,Puzzle,E,3DS,Nintendo,Hudson Soft,0.44,0.2,0.14,0.06,2011
5110,Samurai Warriors 3,samurai-warriors-3,Action,T,Wii,Nintendo,Omega Force,0.44,0.09,0.02,0.32,2010
5112,Yu-Gi-Oh! 5D's Tag Force 4,yu-gi-oh-5ds-tag-force-4,Strategy,E,PSP,Konami,Konami,0.44,0.19,0.07,0.12,2009
5121,2014 FIFA World Cup Brazil,2014-fifa-world-cup-brazil,Sports,E,X360,EA Sports,EA Canada,0.44,0.15,0.25,0.0,2014
5125,Eternal Sonata,eternal-sonata,Role-Playing,T,PS3,Namco Bandai,Tri-Crescendo,0.44,0.19,0.12,0.07,2008
5128,Hyperdimension Neptunia,hyperdimension-neptunia,Role-Playing,T,PS3,NIS America,Compile Heart,0.44,0.22,0.1,0.07,2011
5143,The Darkness,the-darkness,Shooter,M,X360,2K Games,Starbreeze,0.44,0.36,0.04,0.01,2007
5144,Resistance: Burning Skies,resistance-burning-skies,Shooter,RP,PSV,Sony Computer Entertainment,Nihilistic Software,0.44,0.18,0.16,0.02,2012
5147,Metro: Last Light,metro-last-light,Shooter,M,PS3,Deep Silver,4a-games,0.44,0.14,0.21,0.03,2013
5159,Master of Illusion,master-of-illusion,Puzzle,E,DS,Nintendo,Tenyo,0.43,0.16,0.0,0.26,2007
5163,007: Quantum of Solace,007-quantum-of-solace,Shooter,T,PS2,Activision,Treyarch,0.43,0.17,0.0,0.0,2008
5175,Dragon Ball Z: Shin Budokai - Another Road,dragon-ball-z-shin-budokai-another-road,Fighting,T,PSP,Atari,Dimps Corporation,0.43,0.19,0.09,0.08,2007
5187,Mega Man Zero 2,mega-man-zero-2,Platform,E,GBA,Capcom,Inti Creates,0.43,0.18,0.07,0.17,2003
