Rank,Name,basename,Genre,Platform,Publisher,Developer,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Year
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,PS,Activision,Neversoft Entertainment,9.3,4.68,3.05,1.41,0.02,2000
285,Monster Hunter: World,monster-hunter-world,Action,PS4,Capcom,Capcom,9.3,4.67,1.03,1.06,2.17,2018
287,The Lord of the Rings: The Two Towers,the-lord-of-the-rings-the-two-towers,Action,PS2,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,1.95,0.08,2002
288,Tomb Raider,tomb-raider,Action,PS,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,1.97,0.13,1996
291,Forza Motorsport 4,forza-motorsport-4,Racing,X360,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,1.98,0.06,2011
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,Wii,RedOctane,Vicarious Visions,8.6,4.6,3.04,1.12,0.0,2007
293,"Pokemon: Let's Go, Pikachu!"," pikachu""",Role-Playing,NS,Nintendo,Game Freak,8.3,4.57,2.16,1.24,0.82,2018
296,FIFA 15,fifa-15,Sports,PS3,EA Sports,EA Canada,6.9,4.56,0.59,3.25,0.04,2014
297,Mario & Sonic at the Olympic Winter Games,mario-amp-sonic-at-the-olympic-winter-games,Sports,Wii,Sega,Sega,6.8,4.54,1.87,1.97,0.22,2009
298,Overwatch,overwatch,Shooter,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,1.8,0.17,2016
299,Madden NFL 2005,madden-nfl-2005,Sports,PS2,EA Sports,EA Tiburon,9.5,4.53,4.18,0.26,0.01,2004
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,X360,RedOctane,Neversoft,8.7,4.53,3.19,0.91,0.01,2007
310,Madden NFL 07,madden-nfl-07,Sports,PS2,EA Sports,EA Tiburon,8.5,4.49,3.63,0.24,0.01,2006
311,Spider-Man: The Movie,spider-man-the-movie,Action,PS2,Activision,Treyarch,8.2,4.48,2.71,1.51,0.03,2002
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,X360,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,1.03,0.13,2009
